"nome","resumo","coordenador"
"Fortalecimento da Permanência de Estudantes com Deficiência na FEBF/UERJ","O presente projeto tem como objetivo geral fortalecer a permanência de estudantes com deficiência na Faculdade de Educação da Baixada Fluminense (FEBF/UERJ), por meio da promoção de práticas colaborativas de acessibilidade pedagógica. Fundamenta-se em uma abordagem que compreende a inclusão como um processo dinâmico e institucional que exige ações contínuas, intersetoriais e participativas. O público-alvo direto deste projeto são estudantes que apresentam necessidades educacionais específicas decorrentes de deficiências, transtornos do neurodesenvolvimento ou condições associadas à neurodivergência. Espera-se como resultados a ampliação da acessibilidade, o fortalecimento do pertencimento e a consolidação de práticas pedagógicas inclusivas. Por isso, este projeto propõe promover maior equidade no ensino superior, por meio do fortalecimento da permanência de estudantes com deficiência na FEBF/UERJ, com ações voltadas à mediação pedagógica e à acessibilidade institucional. Assim, este projeto soma-se às experiências desenvolvidas nos seguintes projetos já realizados na unidade: o projeto de estágio interno complementar “Práticas colaborativas para a inclusão: FEBF em ação”, o projeto de extensão “FEBF com o Rompendo Barreiras: Práticas Colaborativas no Atendimento Acadêmico Especializado”, e o Projeto PROTEC “FEBF acessível: práticas colaborativas para a inclusão”. Dessa forma, reafirma o compromisso institucional com a indissociabilidade entre ensino, pesquisa e extensão, fortalecendo a construção de práticas inclusivas de forma integrada e continuada.","Elaine Silva Mateus"
"Fórmula da Permanência: Nivelamento Matemático para Estudantes Cotistas e em Vulnerabilidade Social na UERJ","O projeto propõe ações de nivelamento matemático voltadas a estudantes cotistas e em situação de vulnerabilidade social, com o objetivo de fortalecer sua permanência no Ensino Superior. A partir da criação de conteúdos acessíveis em formato audiovisual e da escuta das principais dificuldades enfrentadas pelos estudantes nas disciplinas de base, busca-se reduzir lacunas na formação matemática que comprometem o desempenho acadêmico. Os bolsistas cotistas, a partir de suas próprias experiências e do contato com colegas em condições semelhantes, atuarão como agentes de pesquisa para identificar os conteúdos prioritários, além de funcionar como ponte entre o público-alvo e a coordenação do projeto. Sua atuação contribuirá para o alinhamento pedagógico dos materiais produzidos, ampliando o impacto e a efetividade da proposta. Espera-se assim, promover maior equidade acadêmica e inclusão nos espaços de aprendizagem da UERJ.","Edison Americo Huarsaya Tito"
"ACESSIBILIDADE NA AVALIAÇÃO E PERMANÊNCIA ESTUDANTIL: PRÁTICAS INCLUSIVAS E EQUIDADE PARA ESTUDANTES COM DEFICIÊNCIA","Este projeto tem como objetivo principal promover a sistematização e implementação de práticas avaliativas acessíveis na Universidade do Estado do Rio de Janeiro (UERJ), com o propósito de assegurar a permanência qualificada de estudantes com deficiência e fortalecer uma cultura institucional de inclusão. A iniciativa visa transformar o modo tradicional de avaliação, muitas vezes excludente e padronizado em uma ferramenta pedagógica que respeite as diversidades, potencialidades e singularidades de cada estudante, contribuindo assim para uma educação verdadeiramente inclusiva e equitativa. O público-alvo principal é composto por estudantes com deficiência ou que necessitam de suporte de acessibilidade na UERJ, incluindo ingressantes e estudantes em processo de permanência, além de docentes, técnicos administrativos, setores institucionais e grupos de apoio à acessibilidade, com o objetivo de promover uma cultura institucional mais inclusiva e sensível às necessidades específicas desses estudantes. Espera-se que o projeto contribua para o diagnóstico das barreiras e potencialidades das práticas avaliativas atuais na UERJ, a produção de um repertório de práticas acessíveis, inovadoras e replicáveis, além de fortalecer a cultura de avaliação inclusiva por meio de materiais didáticos e formativos. Também visa sensibilizar e capacitar docentes e técnicos para práticas avaliativas mais acessíveis, incentivar a formulação de políticas institucionais que priorizem a acessibilidade e a equidade na avaliação.","Suzanli Estef da Silva"
"CUIDAR DE QUEM CUIDA: PROGRAMA INTEGRADO DE APOIO PSICOSSOCIAL, TUTORIA ACADÊMICA, ATIVIDADE FÍSICA E SAÚDE MENTAL PARA ESTUDANTES DE MEDICINA","Este projeto tem como objetivo promover a equidade e a permanência qualificada de estudantes de Medicina da UERJ em situação de vulnerabilidade social, racial e/ou econômica por meio de um programa integrado de tutoria acadêmica, apoio psicossocial, promoção da saúde mental e prática orientada de atividade física. Fundamentado em evidências que associam o curso médico a altos índices de sofrimento psíquico, o projeto propõe ações interdisciplinares que envolvem atendimentos psicológicos, oficinas de autocuidado, tutoria entre pares, sessões regulares de exercícios físicos e avaliações psicofisiológicas (como VFC e escalas psicométricas). O público-alvo inclui estudantes negros, indígenas, quilombolas, PCDs e oriundos da rede pública. A metodologia abrange diagnóstico inicial, execução semestral das ações e avaliação de impacto. Espera-se, como resultado, a redução da evasão, maior equilíbrio emocional, melhora da saúde mental, aumento do nível de atividade física e fortalecimento institucional de políticas de inclusão e bem-estar estudantil.","SILVIO RODRIGUES MARQUES NETO"
"ODU/UM CAMINHO PARA A CIÊNCIA","A presente proposta tem como objetivo fortalecer e expandir as ações da iniciativa Odu, criada em 2019 no âmbito do Programa de Pós-Graduação em Ecologia e Evolução da Universidade do Estado do Rio de Janeiro (UERJ), voltada ao apoio técnico, emocional e acadêmico a estudantes negros nos cursos de pós-graduação. Considerando o quadro estrutural de desigualdade racial na ciência brasileira, onde a pós-graduação ainda não reflete a diversidade da população, e pesquisadores negros seguem sendo minoria, o projeto busca enfrentar os múltiplos fatores que dificultam a permanência e o avanço desses estudantes, como as barreiras socioeconômicas, a escassez de referências negras no meio acadêmico e a sensação de não pertencimento nos espaços científicos. A proposta parte da compreensão de que o pertencimento acadêmico, entendido como a experiência de ser aceito, valorizado e incentivado por pares e instituições, é um fator decisivo na trajetória formativa. A ausência de modelos inspiradores e de redes de apoio fortalece o sentimento de isolamento entre estudantes negros, impactando negativamente sua continuidade na vida acadêmica. Nesse sentido, o projeto busca não apenas manter, mas aprofundar as estratégias já desenvolvidas pelo Odu, ampliando sua atuação junto aos estudantes de graduação e pós-graduação e estendendo suas ações ao nível do ensino médio.","Lis Ingrid Roque Lopes Custódio"
"Arte-educação: a formação de leitores e escritores entre a formação docente e o aquilombamento","O objetivo primário desta proposta se concentra em ações coordenadas de ensino, pesquisa e extensão para a formação docente, com vistas à sensibilização para as linguagens artísticas de uma perspectiva culturalmente orientada para a arte-educação e o aquilombamento. A premissa de concepção deste projeto de formação docente como conveniente à promoção da equidade e à permanência no Ensino Superior está na compreensão de que a prática docente pode ser investida de sentido no contato com as linguagens artísticas e a variedade cultural, atendendo a uma demanda de encantamento (Rufino, 2019) pelo magistério como lugar de exercício da invenção do trabalho poético (Lorde, 2020). As ações envolvem: (1) formação para o trabalho com bibliografia e o contato com saberes, práticas e relações afro-pindorâmicas, seja em uma rotina de trabalho que envolve leitura orientada, anotada, coletivamente elaborada e desejavelmente publicada em rotinas de pesquisa e extensionistas, seja na participação em eventos com apresentação de trabalhos ou na organização de oficinas artísticas e de formação docente; (2) prática de ensino, pela elaboração e aplicação de material didático a ser utilizado nas oficinas artísticas e de formação docente; (3) formação para o trabalho como pesquisador(a) por meio da produção de reflexão sobre a revisão bibliográfica e as experiências de campo: tanto nas rotinas de pesquisa e extensionistas quanto na prática de ensino. Os resultados esperados são a realização de duas oficinas, uma para a formação docente no Colégio Estadual Dom Pedro I, em Mesquita, e outra para as crianças do primeiro segmento do Ensino Fundamental, a ser realizada na Escola Municipal Luiz Cesar Sayão Garcez, em Olaria.","Luiz Carlos Coelho de Oliveira"
"Avaliação em Saúde Mental Campus Cabo Frio","Este projeto tem como objetivo principal identificar, para mapeamento no campus Cabo Frio, os estudantes universitários do 1º e 2º ano que possam estar enfrentando depressão, ansiedade e outros transtornos mentais. A pesquisa visa alcançar cerca de 50 alunos, o que corresponde a cerca de 30% da totalidade de alunos do campus. A metodologia será dividida em 4 fases: Planejamento e Preparação (1º mês), Divulgação e Aplicação dos questionários (2º e 3º mês), Análise e Encaminhamento (4º e 5º mês) e Avaliação e Relatório final (6º mês). Espera-se ter um conhecimento amplo das condições da saúde mental dos estudantes para fomentar dados para a universidade, ampliar os cuidados através de políticas estudantis e, também, que o processo de pesquisa seja capaz de disseminar a ideia do quão importante é estarem atentos ao autocuidado, imprescindível para as suas vidas.","Cláudia Aparecida dos Santos Alcântara"
"Geociências para Permanência: acesso, pertencimento e futuro no curso de Oceanografia","Este projeto visa promover a permanência de estudantes cotistas e em situação de vulnerabilidade social no curso de Oceanografia da UERJ, por meio de ações integradas de apoio pedagógico, valorização de trajetórias estudantis e orientação profissional. Parte-se do reconhecimento de que muitos estudantes enfrentam dificuldades de aprendizagem decorrentes de lacunas formativas prévias e da pouca familiaridade com conteúdos da Oceanografia. Além disso, observa-se uma carência de estratégias institucionais voltadas à construção de horizontes profissionais, o que impacta a permanência e a motivação. A proposta está estruturada em três eixos: produção de materiais didáticos acessíveis, rodas de conversa e seminário de protagonismo discente e elaboração de um guia digital com trajetórias e possibilidades de inserção profissional. Com execução prevista para seis meses, a metodologia se baseia em estratégias participativas com protagonismo do bolsista, e articula ensino, pesquisa e extensão. Espera-se contribuir para a redução das desigualdades educacionais no ensino superior, ampliando o engajamento e as oportunidades para estudantes em vulnerabilidade.","Renata Cardia Rebouças"
"Mapeamento e Organização de Ações Universitárias em Acessibilidade: Criação de um Banco de Dados Instituciona","Este projeto visa contribuir diretamente com as metas de equidade e permanência estudantil da UERJ, ao sistematizar ações de acessibilidade e promover sua visibilidade institucional, propondo a criação de um banco de dados institucional que reúna informações sobre todas as ações, projetos e pesquisas relacionadas à acessibilidade existentes na universidade. Dessa forma, o projeto pretende contribuir para a formação de servidores e discentes comprometidos com os princípios da inclusão, da equidade e da justiça social, tendo por base teórica as contribuições de Alves (2016), Mello (2024), Sassaki (1999), Mingus (2018), entre outros, para explorar a acessibilidade como uma prática de inclusão ativa, experimental e colaborativa.","Ana Bauberger Pimentel"
"A Produção de Material Didático-Pedagógico para a Lei 10.639/03: Oficinas sobre Cultura Afro-brasileira e Fotografia de Arquivo","O objetivo geral deste projeto é compartilhar as experiências de produção do material didático-pedagógico focado na implementação da Lei nº 10.639/03 no ensino básico, desenvolvidos junto ao NEAB-UERJ (Núcleo de Estudos Afro-brasileiros), que atua ao longo de duas décadas, e que no ano de 2024, coincidindo com o centenário do G.R.E.S. Portela, com apoio da FAPERJ. lançou o livro infantojuvenil ""Disney e Batucada da Portela"". Este livro ressignifica fotografias de arquivo de 1940 da Agência Nacional, sob a guarda do Arquivo Nacional. O livro aborda a Lei, a noção de patrimônio e manifestações culturais de matriz africana, com foco nas escolas de samba. A publicação busca salientar a importância das culturas afro-brasileiras sob a perspectiva da educação antirracista, visando a valorização cultural, o fortalecimento da autoestima dos educandos e o desenvolvimento da etnicidade afro-brasileira. Como objetivos específicos, o projeto visa difundir abordagens teóricas e metodológicas desenvolvidas e restituir essas imagens de arquivo à sociedade. Para isso, serão realizadas cinco oficinas ou rodas de conversa no segundo semestre de 2025, no campus da FEBF (Faculdade de Educação da Baixada Fluminense), direcionadas a alunos de graduação e pós-graduação, focadas na relação entre materiais de arquivo e cultura afro-brasileira.","Sormani da Silva"
